Customer Id,Full Name,Tenure,Country,Segment
c8FE57cBBdCDcb2,Phyllis Maldonado,4.44,Saint Barthelemy,Loyal
B5acdFC982124F2,Danny Parrish,4.3,United Arab Emirates,Loyal
8c7DdF10798bCC3,Kathy Hill,4.63,South Georgia and the South Sandwich Islands,Loyal
C681dDd0cc422f7,Kelli Hardy,4.54,Sao Tome and Principe,Loyal
a940cE42e035F28,Lynn Pham,4.87,Portugal,Loyal
9Cf5E6AFE0aeBfd,Shelley Harris,4.56,Togo,Loyal
aEcbe5365BbC67D,Eddie Jimenez,3.28,Ethiopia,New
FCBdfCEAe20A8Dc,Chloe Hutchinson,3.14,Netherlands,New
636cBF0835E10ff,Eileen Lynch,4.5,Liberia,Loyal
fF1b6c9E8Fbf1ff,Fernando Lambert,4.2,Lithuania,Loyal
2A13F74EAa7DA6c,Makayla Cannon,5.45,New Caledonia,Loyal
a014Ec1b9FccC1E,Tom Alvarado,4.88,Kiribati,Loyal
421a109cABDf5fa,Virginia Dudley,4.42,French Southern Territories,Loyal
CC68FD1D3Bbbf22,Riley Good,5.42,Canada,Loyal
CBCd2Ac8E3eBDF9,Alexandria Buck,4.37,Iran,Loyal
Ef859092FbEcC07,Richard Roth,5.36,Morocco,Loyal
F560f2d3cDFb618,Candice Keller,4.87,Zimbabwe,Loyal
A3F76Be153Df4a3,Anita Benson,5.4,Russian Federation,Loyal
D01Af0AF7cBbFeA,Regina Stein,3.47,Solomon Islands,New
d40e89dCade7b2F,Debra Riddle,4.98,United States Virgin Islands,Loyal
BF6a1f9bd1bf8DE,Brittany Zuniga,3.95,Kyrgyz Republic,Loyal
FfaeFFbbbf280db,Cassidy Mcmahon,4.7,Myanmar,Loyal
CbAE1d1e9a8dCb1,Laurie Pennington,5.07,Dominica,Loyal
A7F85c1DE4dB87f,Alejandro Blair,4.79,Iceland,Loyal
D6CEAfb3BDbaa1A,Leslie Jennings,3.64,Micronesia,Loyal
Ebdb6F6F7c90b69,Kathleen Mckay,3.81,Saint Vincent and the Grenadines,Loyal
E8E7e8Cfe516ef0,Hunter Moreno,4.51,Isle of Man,Loyal
78C06E9b6B3DF20,Chad Davidson,3.63,Oman,Loyal
03A1E62ADdeb31c,Corey Holt,5.37,Fiji,Loyal
C6763c99d0bd16D,Emma Cunningham,3.14,New Zealand,New
ebe77E5Bf9476CE,Duane Woods,4.95,Maldives,Loyal
E4Bbcd8AD81fC5f,Alison Vargas,4.65,Benin,Loyal
efeb73245CDf1fF,Vernon Kane,4.22,Yemen,Loyal
37Ec4B395641c1E,Lori Flowers,4.48,Namibia,Loyal
5ef6d3eefdD43bE,Nina Chavez,5.27,Bhutan,Loyal
98b3aeDcC3B9FF3,Shane Foley,3.99,Hungary,Loyal
aAb6AFc7AfD0fF3,Collin Ayers,4.01,Anguilla,Loyal
54B5B5Fe9F1B6C5,Sherry Young,4.25,Solomon Islands,Loyal
BE91A0bdcA49Bbc,Darrell Douglas,3.38,Mali,New
cb8E23e48d22Eae,Karl Greer,3.43,Guyana,New
CeD220bdAaCfaDf,Lynn Atkinson,3.98,Sri Lanka,Loyal
28CDbC0dFe4b1Db,Fred Guerra,3.79,Solomon Islands,Loyal
c23d1D9EE8DEB0A,Yvonne Farmer,3.9,Aruba,Loyal
2354a0E336A91A1,Clarence Haynes,5.31,Honduras,Loyal
